"","price","area","bedrooms","bathrooms","stories","mainroad","guestroom","basement","hotwaterheating","airconditioning","parking","prefarea","furnishingstatus"
"456",3129000,5495,3,1,1,"yes","no","yes","no","no",0,"no","unfurnished"
"210",4900000,6720,3,1,1,"yes","no","no","no","no",0,"no","unfurnished"
"164",5425000,6825,3,1,1,"yes","yes","yes","no","yes",0,"yes","semi-furnished"
"281",4270000,6360,2,1,2,"yes","no","no","no","no",0,"no","unfurnished"
"119",5950000,6420,3,1,1,"yes","no","yes","no","yes",0,"yes","furnished"
"99",6293000,6600,3,2,3,"yes","no","no","no","yes",0,"yes","unfurnished"
"259",4480000,4040,3,1,2,"yes","no","no","no","no",1,"no","semi-furnished"
"315",4095000,4040,2,1,2,"yes","no","no","no","no",1,"no","semi-furnished"
"374",3640000,3000,2,1,2,"yes","no","no","no","yes",0,"no","furnished"
"459",3115000,3850,3,1,2,"yes","no","no","no","no",0,"no","unfurnished"
"169",5250000,4260,4,1,2,"yes","no","yes","no","yes",0,"no","furnished"
"312",4123000,6060,2,1,1,"yes","no","yes","no","no",1,"no","semi-furnished"
"472",3010000,3750,3,1,2,"yes","no","no","no","no",0,"no","unfurnished"
"18",8960000,8500,3,2,4,"yes","no","no","no","yes",2,"no","furnished"
"44",7700000,6000,4,2,4,"yes","no","no","no","no",2,"no","semi-furnished"
"258",4480000,8250,3,1,1,"yes","no","no","no","no",0,"no","furnished"
"517",2450000,3240,2,1,1,"no","yes","no","no","no",1,"no","unfurnished"
"91",6440000,5000,3,1,2,"yes","no","no","no","yes",0,"no","semi-furnished"
"447",3150000,3986,2,2,1,"no","yes","yes","no","no",1,"no","unfurnished"
"32",8400000,7000,3,1,4,"yes","no","no","no","yes",2,"no","semi-furnished"
"405",3493000,4900,3,1,2,"no","no","no","no","no",0,"no","unfurnished"
"387",3535000,3850,3,1,1,"yes","no","no","no","no",2,"no","unfurnished"
"186",5110000,3000,3,1,2,"yes","no","yes","no","no",0,"no","unfurnished"
"125",5950000,6525,3,2,4,"yes","no","no","no","no",1,"no","furnished"
"260",4473000,6360,2,1,1,"yes","no","yes","no","yes",1,"no","furnished"
"89",6475000,7410,3,1,1,"yes","yes","yes","no","yes",2,"yes","unfurnished"
"476",2961000,3000,2,1,2,"yes","no","no","no","no",0,"no","semi-furnished"
"21",8750000,4320,3,1,2,"yes","no","yes","yes","no",2,"no","semi-furnished"
"79",6650000,5700,3,1,1,"yes","yes","yes","no","yes",2,"yes","furnished"
"115",6020000,6800,2,1,1,"yes","yes","yes","no","no",2,"no","furnished"
"101",6230000,6600,3,2,1,"yes","no","yes","no","yes",0,"yes","unfurnished"
"340",3885000,3180,4,2,2,"yes","no","no","no","no",0,"no","furnished"
"71",6790000,4000,3,2,2,"yes","no","yes","no","yes",0,"yes","semi-furnished"
"232",4690000,4320,3,1,1,"yes","no","no","no","no",0,"yes","semi-furnished"
"59",7210000,7680,4,2,4,"yes","yes","no","no","yes",1,"no","semi-furnished"
"244",4550000,2550,3,1,2,"yes","no","yes","no","no",0,"no","furnished"
"158",5495000,2817,4,2,2,"no","yes","yes","no","no",1,"no","furnished"
"58",7245000,9000,4,2,4,"yes","yes","no","no","yes",1,"yes","furnished"
"530",2275000,3970,3,1,2,"yes","no","yes","no","no",0,"no","unfurnished"
"114",6083000,9620,3,1,1,"yes","no","yes","no","no",2,"yes","furnished"
"353",3780000,5830,2,1,1,"yes","no","no","no","no",2,"no","unfurnished"
"134",5810000,4800,3,1,3,"yes","no","no","no","yes",0,"no","unfurnished"
"34",8190000,5960,3,3,2,"yes","yes","yes","no","no",1,"no","unfurnished"
"303",4200000,2145,3,1,3,"yes","no","no","no","no",1,"yes","unfurnished"
"292",4200000,2953,3,1,2,"yes","no","yes","no","yes",0,"no","unfurnished"
"17",9100000,6600,4,2,2,"yes","yes","yes","no","yes",1,"yes","unfurnished"
"417",3395000,3450,3,1,1,"yes","no","yes","no","no",2,"no","unfurnished"
"511",2520000,2880,3,1,1,"no","no","no","no","no",0,"no","unfurnished"
"477",2940000,5850,3,1,2,"yes","no","yes","no","no",1,"no","unfurnished"
"66",6930000,8880,3,2,2,"yes","no","yes","no","yes",1,"no","furnished"
"498",2660000,3934,2,1,1,"yes","no","no","no","no",0,"no","unfurnished"
"362",3710000,6020,3,1,1,"yes","no","no","no","no",0,"no","semi-furnished"
"136",5775000,6000,3,2,4,"yes","no","no","no","yes",0,"no","unfurnished"
"238",4620000,5010,3,1,2,"yes","no","yes","no","no",0,"no","semi-furnished"
"283",4270000,2175,3,1,2,"no","yes","yes","no","yes",0,"no","unfurnished"
"519",2450000,3500,2,1,1,"yes","yes","no","no","no",0,"no","unfurnished"
"5",11410000,7420,4,1,2,"yes","yes","yes","no","yes",2,"no","furnished"
"74",6685000,6600,2,2,4,"yes","no","yes","no","no",0,"yes","furnished"
"407",3465000,5320,2,1,1,"yes","no","no","no","no",1,"yes","unfurnished"
"291",4200000,2610,4,3,2,"no","no","no","no","no",0,"no","semi-furnished"
"521",2450000,7700,2,1,1,"yes","no","no","no","no",0,"no","unfurnished"
"490",2835000,3300,3,1,2,"no","no","no","no","no",1,"no","semi-furnished"
"352",3780000,3600,2,1,1,"yes","no","no","no","no",0,"no","semi-furnished"
"354",3780000,2856,3,1,3,"yes","no","no","no","no",0,"yes","furnished"
"69",6860000,6000,3,1,1,"yes","no","no","no","yes",1,"no","furnished"
"196",4970000,4410,4,3,2,"yes","no","yes","no","no",2,"no","semi-furnished"
"532",2233000,5300,3,1,1,"no","no","no","no","yes",0,"yes","unfurnished"
"322",4025000,3630,3,2,2,"yes","no","no","yes","no",2,"no","semi-furnished"
"380",3633000,3520,3,1,1,"yes","no","no","no","no",2,"yes","unfurnished"
"42",7840000,6360,3,2,4,"yes","no","no","no","yes",0,"yes","furnished"
"123",5950000,6254,4,2,1,"yes","no","yes","no","no",1,"yes","semi-furnished"
"213",4893000,3420,4,2,2,"yes","no","yes","no","yes",2,"no","semi-furnished"
"38",7980000,9000,4,2,4,"yes","no","no","no","yes",2,"no","furnished"
"8",10150000,16200,5,3,2,"yes","no","no","no","no",0,"no","unfurnished"
"308",4165000,4080,3,1,2,"yes","no","no","no","no",2,"no","semi-furnished"
"47",7525000,6000,3,2,4,"yes","no","no","no","yes",1,"no","furnished"
"379",3640000,2275,3,1,3,"yes","no","no","yes","yes",0,"yes","semi-furnished"
"243",4550000,3640,3,1,2,"yes","no","no","no","yes",0,"no","furnished"
"257",4480000,4000,3,1,2,"yes","no","no","no","no",2,"no","furnished"
"184",5145000,7980,3,1,1,"yes","no","no","no","no",1,"yes","semi-furnished"
"46",7560000,6000,3,2,3,"yes","no","no","no","yes",0,"no","semi-furnished"
"439",3255000,4500,2,1,1,"no","no","no","no","no",0,"no","semi-furnished"
"11",9800000,13200,3,1,2,"yes","no","yes","no","yes",2,"yes","furnished"
"409",3430000,4000,2,1,1,"yes","no","no","no","no",0,"no","unfurnished"
"87",6510000,6670,3,1,3,"yes","no","yes","no","no",0,"yes","unfurnished"
"427",3353000,2700,3,1,1,"no","no","no","no","no",0,"no","furnished"
"385",3570000,4500,2,1,1,"no","no","no","no","no",0,"no","furnished"
"488",2870000,5400,4,1,2,"yes","no","no","no","no",0,"no","unfurnished"
"177",5250000,8520,3,1,1,"yes","no","no","no","yes",2,"no","furnished"
"142",5652500,6660,4,2,2,"yes","yes","yes","no","no",1,"yes","semi-furnished"
"522",2408000,3635,2,1,1,"no","no","no","no","no",0,"no","unfurnished"
"159",5495000,7980,3,1,1,"yes","no","no","no","no",2,"no","semi-furnished"
"12",9681000,6000,4,3,2,"yes","yes","yes","yes","no",2,"no","semi-furnished"
"67",6930000,13200,2,1,1,"yes","no","yes","yes","no",1,"no","furnished"
"171",5250000,5500,3,2,1,"yes","no","yes","no","no",0,"no","semi-furnished"
"175",5250000,3800,3,1,2,"yes","yes","yes","no","no",1,"yes","unfurnished"
"325",4007500,4500,3,1,2,"no","no","yes","no","yes",0,"no","semi-furnished"
